"OrderID","OrderDate","ShipDate","ShipMode","CustomerID","ProductID","OrderCostPrice","OrderSellingPrice"
"67","4/30/2020","5/5/2020","Standard Class","PS-18970","FUR-CH-10001146","128","213"
"68","5/12/2019","10/12/2019","Standard Class","BS-11590","OFF-AR-10002671","779","1113"
"69","5/12/2019","10/12/2019","Standard Class","BS-11590","TEC-PH-10002726","101","168"
"70","4/6/2021","6/6/2021","First Class","KD-16270","OFF-PA-10000482","46","76"
"71","9/18/2021","9/23/2021","Standard Class","HM-14980","OFF-BI-10004654","4","5"
"72","9/14/2022","9/17/2022","Second Class","TB-21520","OFF-PA-10004675","15","19"
"73","4/26/2020","2/5/2020","Standard Class","JE-15745","FUR-CH-10000513","499","832"
"74","4/26/2020","2/5/2020","Standard Class","JE-15745","FUR-FU-10003708","78","97"
"75","4/26/2020","2/5/2020","Standard Class","JE-15745","OFF-ST-10004123","36","73"
"76","9/12/2022","11/12/2022","First Class","KB-16600","OFF-BI-10004182","1","1"
"77","9/12/2022","11/12/2022","First Class","KB-16600","FUR-FU-10000260","7","10"
"78","9/12/2022","11/12/2022","First Class","KB-16600","OFF-ST-10000615","19","27"
"79","11/26/2019","1/12/2019","Second Class","JE-15745","FUR-FU-10003194","12","19"
"80","12/6/2021","6/15/2021","First Class","SC-20770","OFF-AP-10002118","104","208"
"81","12/6/2021","6/15/2021","First Class","SC-20770","OFF-BI-10002309","12","17"
"82","12/10/2019","10/16/2019","Standard Class","DN-13690","OFF-AR-10002053","9","15"
"83","12/10/2019","10/16/2019","Standard Class","DN-13690","OFF-ST-10002370","13","21"
"84","3/9/2020","8/9/2020","Standard Class","JC-16105","OFF-EN-10000927","141","201"
"85","11/13/2022","11/16/2022","First Class","CS-12400","OFF-ST-10003656","207","230"
"86","5/28/2022","5/30/2022","Second Class","PO-18865","FUR-CH-10000863","181","302"
"87","10/26/2022","2/11/2022","Standard Class","PG-18895","TEC-AC-10001998","12","20"
"88","10/26/2022","2/11/2022","Standard Class","PG-18895","OFF-LA-10000134","3","6"
"89","5/4/2021","10/4/2021","Second Class","GM-14455","OFF-ST-10003442","95","158"
"90","9/17/2021","9/22/2021","Standard Class","JS-15685","OFF-AR-10004930","12","20"
"91","9/17/2021","9/22/2021","Standard Class","JS-15685","TEC-PH-10004093","37","74"
"92","9/17/2021","9/22/2021","Standard Class","JS-15685","OFF-PA-10000304","3","6"
"93","1/31/2020","5/2/2020","Second Class","KB-16315","OFF-PA-10003177","8","13"
"94","1/31/2020","5/2/2020","Second Class","KB-16315","FUR-FU-10003799","48","53"
"95","1/31/2020","5/2/2020","Second Class","KB-16315","OFF-BI-10002852","23","33"
"96","6/11/2022","12/11/2022","Standard Class","RB-19705","OFF-BI-10004738","4","6"
"97","9/11/2022","11/11/2022","Second Class","PN-18775","FUR-FU-10000629","48","97"
"98","6/17/2022","6/20/2022","First Class","","OFF-BI-10001721","46","51"
"99","6/9/2021","11/9/2021","Standard Class","ER-13855","OFF-AP-10000358","47","78"
"100","8/29/2021","2/9/2021","Standard Class","RB-19465","OFF-PA-10003256","32","65"
"101","8/29/2021","2/9/2021","Standard Class","RB-19465","TEC-AC-10001767","48","96"
"102","8/29/2021","2/9/2021","Standard Class","RB-19465","OFF-BI-10002609","2","2"
"103","1/12/2021","4/12/2021","Second Class","GZ-14470","OFF-PA-10004040","14","24"
"104","11/13/2020","11/17/2020","Standard Class","LC-16870","TEC-AC-10001552","191","239"
"105","11/13/2020","11/17/2020","Standard Class","LC-16870","FUR-FU-10004006","72","102"
"106","11/13/2020","11/17/2020","Standard Class","LC-16870","OFF-BI-10002794","18","37"
"107","11/23/2022","11/28/2022","Standard Class","JM-15250","TEC-AC-10003499","67","74"
"108","11/23/2022","11/28/2022","Standard Class","JM-15250","TEC-PH-10002844","14","28"
"109","11/23/2022","11/28/2022","Standard Class","JM-15250","OFF-AR-10000390","2","3"
"110","10/15/2020","10/20/2020","Standard Class","PA-19060","TEC-AC-10000844","272","340"
"111","12/25/2022","12/30/2022","Standard Class","CV-12805","FUR-FU-10001934","21","42"
"112","3/11/2021","10/11/2021","Standard Class","CL-12565","OFF-AR-10000380","61","76"
"113","3/11/2021","10/11/2021","Standard Class","CL-12565","OFF-BI-10003981","16","27"
"114","8/25/2019","8/27/2019","Second Class","RC-19960","OFF-FA-10000621","32","40"
"115","8/25/2019","8/27/2019","Second Class","RC-19960","OFF-EN-10002600","3","5"
"116","8/25/2019","8/27/2019","Second Class","RC-19960","OFF-PA-10004965","17","24"
"117","8/25/2019","8/27/2019","Second Class","RC-19960","OFF-EN-10002504","117","130"
"118","2/3/2020","6/3/2020","Standard Class","DK-13090","FUR-TA-10001768","551","788"
"119","5/4/2020","10/4/2020","Standard Class","GG-14650","OFF-BI-10003650","142","158"
"120","12/6/2021","6/15/2021","First Class","SC-20725","FUR-FU-10002157","42","47"
"121","12/6/2021","6/15/2021","First Class","SC-20725","OFF-BI-10003910","25","31"
"122","12/6/2021","6/15/2021","First Class","SC-20725","OFF-ST-10000777","136","227"
"123","12/6/2021","6/15/2021","First Class","SC-20725","OFF-EN-10002500","69","115"
"124","12/6/2021","6/15/2021","First Class","SC-20725","TEC-PH-10003875","34","68"
"125","12/26/2019","12/28/2019","Second Class","AD-10180","FUR-CH-10004063","360","601"
"126","9/20/2019","9/25/2019","Standard Class","PF-19165","FUR-TA-10004534","371","618"
"127","5/11/2022","12/11/2022","Standard Class","TS-21610","OFF-BI-10003274","2","2"
"128","5/11/2022","12/11/2022","Standard Class","TS-21610","OFF-ST-10002974","195","244"
"129","6/11/2021","10/11/2021","Second Class","LS-16975","FUR-CH-10001146","49","81"
"130","6/11/2021","10/11/2021","Second Class","LS-16975","FUR-FU-10003773","143","239"
"131","2/2/2022","5/2/2022","First Class","DW-13585","TEC-PH-10002293","30","60"
"132","2/2/2022","5/2/2022","First Class","DW-13585","OFF-PA-10002377","55","78"
"133","2/2/2022","5/2/2022","First Class","DW-13585","OFF-FA-10002780","13","21"
"134","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-PA-10001804","16","20"
"135","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-PA-10001736","32","35"
"136","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-AR-10001149","9","12"
"137","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-FA-10002988","4","4"
"138","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-BI-10004781","38","76"
"139","10/13/2021","10/19/2021","Standard Class","LC-16885","OFF-SU-10001218","46","66"
"140","10/13/2021","10/19/2021","Standard Class","LC-16885","FUR-FU-10001706","26","43"
"141","5/9/2021","7/9/2021","Second Class","JD-15895","FUR-FU-10004848","41","83"
"142","9/18/2022","9/23/2022","Standard Class","SH-19975","OFF-AR-10000940","4","9"
"143","9/18/2022","9/23/2022","Standard Class","SH-19975","OFF-EN-10004030","5","11"
"144","9/18/2022","9/23/2022","Standard Class","SH-19975","OFF-PA-10004327","101","144"
"145","12/22/2022","12/27/2022","Standard Class","SG-20080","OFF-AP-10001058","755","839"
"146","7/9/2020","12/9/2020","Standard Class","HA-14920","OFF-ST-10003656","605","672"
"147","10/22/2019","10/28/2019","Standard Class","MG-17680","FUR-FU-10000521","66","94"
"148","5/12/2021","9/12/2021","Standard Class","JE-16165","TEC-PH-10000215","346","384"
"149","5/12/2021","9/12/2021","Standard Class","JE-16165","TEC-PH-10001448","75","150"
"150","5/12/2021","9/12/2021","Standard Class","JE-16165","FUR-CH-10000454","1366","1952"
"151","5/12/2021","9/12/2021","Standard Class","JE-16165","OFF-BI-10002735","137","172"
"152","3/13/2021","3/16/2021","First Class","TW-21025","OFF-AP-10000326","95","158"
"153","3/13/2021","3/16/2021","First Class","TW-21025","TEC-PH-10001254","163","203"
"154","5/31/2020","2/6/2020","First Class","SP-20650","OFF-PA-10001950","47","58"
"155","5/31/2020","2/6/2020","First Class","SP-20650","OFF-PA-10002254","84","106"
"156","5/31/2020","2/6/2020","First Class","SP-20650","OFF-ST-10001590","57","81"
"157","5/28/2020","3/6/2020","Standard Class","NK-18490","OFF-AR-10001547","5","7"
"158","1/3/2019","6/3/2019","Second Class","DB-13060","FUR-CH-10004063","412","458"
"159","11/20/2021","11/24/2021","Standard Class","NP-18670","OFF-LA-10002475","10","15"
"160","11/20/2021","11/24/2021","Standard Class","NP-18670","TEC-PH-10004536","472","945"
"161","11/5/2021","12/5/2021","First Class","TT-21070","OFF-PA-10002751","3","6"
"162","12/28/2020","12/31/2020","Second Class","EM-13960","TEC-AC-10003657","33","54"
"163","11/16/2021","11/20/2021","Standard Class","RD-19900","OFF-EN-10001990","17","28"
"164","7/11/2021","11/11/2021","Standard Class","MJ-17740","OFF-BI-10004002","22","28"
"165","8/9/2019","12/9/2019","Standard Class","BM-11140","OFF-AR-10004441","7","10"
"166","8/9/2019","12/9/2019","Standard Class","BM-11140","TEC-MA-10000822","4896","8160"
"167","8/9/2019","12/9/2019","Standard Class","BM-11140","OFF-ST-10000991","193","276"
"168","8/9/2019","12/9/2019","Standard Class","BM-11140","FUR-CH-10004287","1044","1740"
"169","8/9/2019","12/9/2019","Standard Class","BM-11140","OFF-AR-10002656","19","32"
"170","8/9/2019","12/9/2019","Standard Class","BM-11140","OFF-AP-10002518","142","178"
"171","8/9/2019","12/9/2019","Standard Class","BM-11140","TEC-PH-10003931","86","144"
"172","5/8/2019","9/8/2019","Standard Class","CS-12130","OFF-PA-10000659","15","21"
"173","5/8/2019","9/8/2019","Standard Class","CS-12130","OFF-PA-10001144","55","111"
"174","5/8/2019","9/8/2019","Standard Class","CS-12130","FUR-CH-10003817","272","340"
"175","9/14/2019","9/19/2019","Standard Class","JB-15400","OFF-AP-10000891","37","52"
"176","9/14/2019","9/19/2019","Standard Class","JB-15400","OFF-LA-10003148","12","20"
"177","4/21/2022","4/25/2022","Second Class","SJ-20500","OFF-AP-10002684","88","97"
"178","11/21/2020","11/23/2020","Second Class","JE-15745","FUR-CH-10004698","238","397"
"179","11/21/2020","11/23/2020","Second Class","JE-15745","OFF-SU-10002189","8","16"
"180","12/15/2020","12/19/2020","Standard Class","JK-15640","OFF-AR-10001940","3","3"
"181","5/12/2019","9/12/2019","Second Class","DK-13150","OFF-ST-10003455","17","25"
"182","5/12/2019","9/12/2019","Second Class","DK-13150","TEC-AC-10004659","0",""
"183","11/19/2019","11/24/2019","Second Class","RM-19675","TEC-PH-10003273","302","504"
"184","11/19/2019","11/24/2019","Second Class","RM-19675","TEC-PH-10004896","120","150"
"185","11/19/2019","11/24/2019","Second Class","RM-19675","TEC-AC-10002345","17","29"
"186","11/28/2021","2/12/2021","Standard Class","SK-19990","OFF-BI-10001890","4","7"
"187","8/26/2019","8/30/2019","Standard Class","FM-14290","TEC-AC-10002323","88","177"
"188","7/16/2021","7/22/2021","Standard Class","AM-10360","OFF-ST-10001328","26","37"
"189","7/16/2021","7/22/2021","Standard Class","AM-10360","OFF-PA-10001950","12","20"
"190","12/10/2020","10/14/2020","First Class","MP-17470","FUR-BO-10002613","450","899"
"191","12/10/2020","10/14/2020","First Class","MP-17470","TEC-PH-10001552","65","72"
"192","12/10/2020","10/14/2020","First Class","MP-17470","OFF-PA-10000061","31","52"
"193","12/10/2020","10/14/2020","First Class","MP-17470","FUR-BO-10002545","313","626"
"194","12/10/2020","10/14/2020","First Class","MP-17470","OFF-AR-10003514","16","20"
"195","10/31/2020","6/11/2020","Standard Class","MZ-17515","OFF-EN-10001509","13","14"
"196","3/21/2019","3/25/2019","Standard Class","CB-12025","OFF-AR-10004685","6","7"
"197","3/21/2019","3/25/2019","Standard Class","CB-12025","OFF-AR-10004027","5","6"
"198","6/11/2022","11/13/2022","Standard Class","VM-21685","OFF-ST-10001414","23","46"
"199","6/7/2022","7/13/2022","Standard Class","FH-14365","OFF-BI-10000343","2","3"
"200","6/7/2022","7/13/2022","Standard Class","FH-14365","OFF-PA-10002749","10","16"
"201","6/24/2022","6/29/2022","Standard Class","MB-17305","OFF-PA-10002666","17","22"
"202","3/8/2019","5/8/2019","First Class","BS-11755","FUR-TA-10004289","197","219"
"203","3/8/2019","5/8/2019","First Class","BS-11755","OFF-AP-10003622","2","3"
"204","12/17/2022","12/21/2022","Second Class","LC-17140","OFF-AP-10003217","40","66"
"205","3/6/2022","7/6/2022","Standard Class","HK-14890","FUR-FU-10002960","18","35"
"206","9/12/2022","12/14/2022","Standard Class","LE-16810","TEC-PH-10001918","356","445"
"207","1/12/2022","7/12/2022","Standard Class","JH-15985","OFF-ST-10000642","67","84"
"208","1/12/2022","7/12/2022","Standard Class","JH-15985","TEC-PH-10001700","79","132"
"209","1/12/2022","7/12/2022","Standard Class","JH-15985","OFF-BI-10003274","10","16"
"210","1/12/2022","7/12/2022","Standard Class","JH-15985","OFF-FA-10000134","37","52"
"211","1/12/2022","7/12/2022","Standard Class","JH-15985","OFF-ST-10001522","64","92"
"212","9/2/2020","2/13/2020","Second Class","MS-17980","TEC-AC-10001266","17","21"
"213","2/1/2020","9/1/2020","Standard Class","VW-21775","OFF-LA-10004544","21","24"
"214","2/1/2020","9/1/2020","Standard Class","VW-21775","FUR-BO-10004695","407","452"
"215","2/1/2020","9/1/2020","Standard Class","VW-21775","TEC-PH-10002844","44","63"
"216","2/1/2020","9/1/2020","Standard Class","VW-21775","TEC-MA-10000864","832","1188"
"217","2/1/2020","9/1/2020","Standard Class","VW-21775","TEC-AC-10000109","54","90"
"218","10/28/2021","1/11/2021","Standard Class","JH-15910","OFF-ST-10001328","84","93"
"219","10/28/2021","1/11/2021","Standard Class","JH-15910","TEC-PH-10002563","181","302"
"220","12/24/2020","12/27/2020","First Class","JB-15925","OFF-FA-10000585","4","6"
"221","12/24/2020","12/27/2020","First Class","JB-15925","OFF-PA-10004000","11","23"
"222","12/24/2020","12/27/2020","First Class","JB-15925","OFF-BI-10002852","18","20"
"223","12/24/2020","12/27/2020","First Class","JB-15925","FUR-FU-10000087","58","73"
"224","12/24/2020","12/27/2020","First Class","JB-15925","TEC-MA-10001148","288","480"
"225","12/24/2020","12/27/2020","First Class","JB-15925","OFF-AR-10001958","22","27"
"226","9/8/2020","8/16/2020","Standard Class","DS-13180","OFF-AR-10001026","2","2"
"227","9/8/2020","8/16/2020","Standard Class","DS-13180","FUR-TA-10003748","498","622"
"228","9/8/2020","8/16/2020","Standard Class","DS-13180","OFF-ST-10002485","15","22"
"229","2/28/2020","4/3/2020","Standard Class","VD-21670","FUR-CH-10004860","129","162"
"230","2/28/2020","4/3/2020","Standard Class","VD-21670","FUR-CH-10004477","351","390"
"231","9/13/2019","9/17/2019","Standard Class","EA-14035","OFF-BI-10001679","17","19"
"232","7/4/2022","12/4/2022","Standard Class","CS-12400","FUR-TA-10001705","210","234"
"233","7/4/2022","12/4/2022","Standard Class","CS-12400","FUR-TA-10003473","310","621"
"234","7/4/2022","12/4/2022","Standard Class","CS-12400","OFF-BI-10001679","5","5"
"235","7/4/2022","12/4/2022","Standard Class","CS-12400","FUR-FU-10004017","232","258"
"236","7/4/2022","12/4/2022","Standard Class","CS-12400","TEC-AC-10003832","309","618"
"237","12/11/2022","11/16/2022","Standard Class","DB-13120","OFF-PA-10002479","5","11"
"238","4/6/2021","9/6/2021","Second Class","KL-16645","OFF-PA-10003349","18","26"
"239","4/6/2021","9/6/2021","Second Class","KL-16645","FUR-FU-10000576","252","420"
"240","4/6/2021","9/6/2021","Second Class","KL-16645","FUR-FU-10004351","6","12"
"241","4/6/2021","9/6/2021","Second Class","KL-16645","TEC-PH-10000011","19","32"
"242","4/6/2021","9/6/2021","Second Class","KL-16645","FUR-TA-10002607","160","177"
"243","4/6/2021","9/6/2021","Second Class","KL-16645","FUR-FU-10002505","3","4"
"244","4/6/2021","9/6/2021","Second Class","KL-16645","OFF-AR-10004685","6","7"
"245","1/6/2019","6/6/2019","Second Class","DW-13480","FUR-CH-10004063","1601","2002"
"246","1/6/2019","6/6/2019","Second Class","DW-13480","OFF-ST-10002276","100","167"
"247","1/6/2019","6/6/2019","Second Class","DW-13480","OFF-PA-10004082","43","48"
"248","1/6/2019","6/6/2019","Second Class","DW-13480","OFF-AP-10002945","1052","1503"
"249","1/6/2019","6/6/2019","Second Class","DW-13480","OFF-PA-10000061","21","26"
"250","10/12/2021","12/15/2021","Second Class","LH-17155","FUR-CH-10002965","193","322"
"251","11/9/2021","9/17/2021","Standard Class","KC-16540","OFF-PA-10004569","5","8"
"252","11/9/2021","9/17/2021","Standard Class","KC-16540","TEC-AC-10003832","2343","3347"
"253","10/12/2021","12/13/2021","First Class","DL-13315","OFF-ST-10001228","40","81"
"254","10/12/2021","12/13/2021","First Class","DL-13315","OFF-EN-10003296","217","362"
"255","11/28/2020","4/12/2020","Standard Class","DR-12880","FUR-FU-10002505","11","12"
"256","11/28/2020","4/12/2020","Standard Class","DR-12880","OFF-ST-10004804","41","82"
"257","11/28/2020","4/12/2020","Standard Class","DR-12880","OFF-ST-10001590","32","54"
"258","11/28/2020","4/12/2020","Standard Class","DR-12880","TEC-PH-10001580","389","648"
"259","1/12/2022","3/12/2022","Second Class","CC-12670","TEC-AC-10000290","16","20"
"260","1/12/2022","3/12/2022","Second Class","CC-12670","OFF-ST-10002790","177","222"
"261","1/12/2022","3/12/2022","Second Class","CC-12670","OFF-BI-10003460","12","18"
"262","8/6/2022","12/6/2022","Standard Class","Dl-13600","OFF-AP-10002203","1","2"
"263","9/19/2019","9/21/2019","Second Class","SB-20290","TEC-MA-10000822","1836","3060"
"264","9/19/2019","9/21/2019","Second Class","SB-20290","TEC-MA-10003353","1260","2520"
"265","6/6/2021","6/13/2021","Standard Class","RC-19825","TEC-PH-10001433","263","328"
"266","10/11/2020","11/15/2020","Standard Class","AH-10210","TEC-AC-10004469","56","80"
"267","6/16/2022","6/20/2022","Standard Class","CB-12535","OFF-AR-10003602","11","14"
"268","1/22/2021","1/28/2021","Standard Class","PG-18895","OFF-FA-10003472","5","8"
"269","9/12/2022","12/13/2022","Standard Class","CA-12310","OFF-ST-10004180","19","37"
"270","9/12/2022","12/13/2022","Standard Class","CA-12310","OFF-EN-10004386","29","58"
"271","12/28/2022","2/1/2023","Second Class","KH-16690","OFF-ST-10003208","363","726"
"272","7/30/2020","7/31/2020","First Class","HA-14920","TEC-AC-10003628","168","210"
"273","7/30/2020","7/31/2020","First Class","HA-14920","FUR-FU-10003274","4","5"
"274","7/30/2020","7/31/2020","First Class","HA-14920","OFF-BI-10002557","5","11"
"275","9/16/2022","9/17/2022","First Class","BB-10990","OFF-PA-10002615","4","9"
"276","9/16/2022","9/17/2022","First Class","BB-10990","OFF-AR-10001427","4","6"
"277","10/13/2022","10/17/2022","Standard Class","AG-10495","OFF-PA-10000673","8","12"
"278","10/13/2022","10/17/2022","Standard Class","AG-10495","OFF-PA-10004470","16","18"
"279","10/13/2022","10/17/2022","Standard Class","AG-10495","OFF-ST-10000876","42","60"
"280","10/13/2022","10/17/2022","Standard Class","AG-10495","OFF-LA-10002043","15","25"
"281","9/26/2020","9/28/2020","Second Class","SC-20725","OFF-BI-10004967","1","2"
"282","9/26/2020","9/28/2020","Second Class","SC-20725","TEC-PH-10001760","1003","1114"
"283","2/11/2020","6/11/2020","Standard Class","JO-15280","FUR-TA-10002903","935","1039"
"284","9/26/2020","2/10/2020","Standard Class","TB-21520","OFF-PA-10000474","99","142"
"285","9/26/2020","2/10/2020","Standard Class","TB-21520","TEC-AC-10001956","120","240"
"286","9/26/2020","2/10/2020","Standard Class","TB-21520","OFF-PA-10004100","16","31"
"287","12/18/2021","12/20/2021","Second Class","AH-10195","OFF-BI-10000778","203","254"
"288","12/18/2021","12/20/2021","Second Class","AH-10195","OFF-AP-10002684","156","195"
"289","12/18/2021","12/20/2021","Second Class","AH-10195","OFF-SU-10000646","769","961"
"290","11/20/2021","11/24/2021","Second Class","NZ-18565","OFF-FA-10002983","15","19"
"291","11/20/2021","11/24/2021","Second Class","NZ-18565","OFF-LA-10004689","17","19"
"292","11/20/2021","11/24/2021","Second Class","NZ-18565","TEC-AC-10002001","205","256"
"293","11/20/2021","11/24/2021","Second Class","NZ-18565","FUR-BO-10004709","78","87"
"294","12/26/2019","12/28/2019","First Class","KL-16555","FUR-FU-10004091","210","300"
"295","12/26/2019","12/28/2019","First Class","KL-16555","FUR-CH-10001891","207","230"
"296","12/26/2019","12/28/2019","First Class","KL-16555","FUR-FU-10002918","109","218"
"297","12/26/2019","12/28/2019","First Class","KL-16555","OFF-BI-10004593","55","79"
"298","12/26/2019","12/28/2019","First Class","KL-16555","OFF-FA-10004854","25","28"
"299","10/28/2021","3/11/2021","Standard Class","JD-15895","OFF-PA-10002105","23","32"
"300","10/28/2021","3/11/2021","Standard Class","JD-15895","OFF-ST-10002756","758","1082"
"301","10/28/2021","3/11/2021","Standard Class","JD-15895","OFF-PA-10004243","51","57"
"302","10/28/2021","3/11/2021","Standard Class","JD-15895","FUR-FU-10001861","47","78"
"303","10/28/2021","3/11/2021","Standard Class","JD-15895","OFF-BI-10002706","10","14"
"304","11/19/2022","11/23/2022","Standard Class","JH-15910","FUR-TA-10002533","131","219"
"305","4/5/2020","9/5/2020","Second Class","AS-10225","FUR-FU-10002671","13","27"
"306","12/30/2019","4/1/2020","Standard Class","KB-16600","OFF-AR-10003651","5","10"
"307","1/6/2019","6/6/2019","Standard Class","CR-12625","OFF-BI-10001072","41","45"
"308","1/6/2019","6/6/2019","Standard Class","CR-12625","OFF-AR-10002135","260","289"
"309","4/15/2022","4/17/2022","First Class","SH-20395","OFF-AR-10002804","4","5"
"310","12/9/2021","9/14/2021","Second Class","BP-11185","FUR-FU-10001918","9","15"
"311","12/9/2021","9/14/2021","Second Class","BP-11185","FUR-CH-10004086","327","467"
"312","12/9/2021","9/14/2021","Second Class","BP-11185","FUR-FU-10001756","14","15"
